mapping_id,condition_key,screening_type,interval_days,eligibility_logic,abnormal_followup_logic,jurisdiction,source_doc_id,effective_date,status,owner,last_reviewed,notes
map_011,hypertension,lipid_monitoring,365,"eligible by age and cardiovascular risk profile","shorten interval after major therapy change",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_012,hypertension,medication_review,180,"active antihypertensive regimen","earlier review for adverse effects or nonadherence",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_013,ascvd_risk,lipid_monitoring,365,"eligible by age and ASCVD risk profile","shorten interval after statin initiation or dose change",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Starter row expanded
map_014,ascvd_risk,bp_followup,90,"elevated ASCVD risk with BP burden","accelerate follow-up for uncontrolled values",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_015,ascvd_risk,smoking_cessation_followup,90,"current tobacco use with ASCVD risk","intensify support when repeated relapse",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_016,ckd,renal_monitoring_egfr,180,"active CKD or cardiorenal risk","shorten interval with rapid decline",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Starter row expanded
map_017,ckd,albuminuria_monitoring_uacr,180,"active CKD or diabetes with renal risk","shorten interval for worsening albuminuria",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Starter row expanded
map_018,ckd,bp_followup,90,"CKD with hypertension burden","accelerate follow-up for uncontrolled values",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_019,ckd,medication_safety_review,180,"CKD with nephrotoxic or renally cleared medications","earlier review when renal function worsens",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_020,heart_failure,followup_visit,90,"active heart failure diagnosis","accelerate interval after decompensation signs",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_021,heart_failure,renal_electrolyte_monitoring,180,"heart failure on relevant medication classes","shorten interval for lab instability",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_022,heart_failure,weight_symptom_review,30,"active heart failure with fluid-risk profile","escalate urgently for rapid weight gain or dyspnea",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_023,atrial_fibrillation,stroke_prevention_review,180,"active atrial fibrillation diagnosis","accelerate review if risk profile changes",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_024,atrial_fibrillation,anticoagulation_monitoring,90,"active anticoagulation therapy","shorten interval for bleeding or clotting risk flags",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_025,copd,exacerbation_followup,90,"active COPD with exacerbation risk","accelerate follow-up after acute exacerbation",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_026,copd,inhaler_technique_review,180,"active COPD inhaler therapy","earlier review for persistent poor control",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_027,copd,smoking_cessation_followup,90,"current tobacco use with COPD diagnosis","intensify support for repeated relapse",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_028,asthma,control_followup,180,"active asthma diagnosis","accelerate interval for poor control or frequent rescue use",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_029,asthma,inhaler_technique_review,180,"active asthma inhaler therapy","earlier review for persistent symptoms",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_030,asthma,exacerbation_followup,90,"recent asthma exacerbation history","accelerate interval after severe episode",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_031,obesity,weight_management_followup,90,"BMI and comorbidity profile indicate obesity care need","shorten interval for rapid risk escalation",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_032,obesity,metabolic_screening,365,"obesity with cardiometabolic risk profile","shorten interval for worsening glycemic or lipid trend",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_033,smoking_tobacco,cessation_followup,90,"current tobacco or vaping use","increase follow-up cadence after failed quit attempts",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_034,smoking_tobacco,lung_cancer_screening,TODO_INTERVAL,"eligible by age and exposure criteria","follow abnormal imaging pathway",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Eligibility and cadence depend on jurisdiction guidance
map_035,depression,phq9_followup,90,"active depression diagnosis or positive screening","accelerate interval for worsening severity or safety risk",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_036,anxiety,gad7_followup,90,"active anxiety diagnosis or positive screening","accelerate interval for worsening functional impact",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_037,substance_use,retention_followup,30,"active substance use treatment pathway","accelerate outreach when retention risk rises",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_038,frailty_falls,falls_risk_review,180,"frailty indicators or fall history","accelerate review after new fall event",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_039,frailty_falls,medication_review,180,"frailty with polypharmacy or sedative burden","earlier review for adverse effect risk",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_040,osteoporosis,fracture_risk_screening,730,"eligible by age and fracture risk profile","accelerate reassessment after fragility fracture",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_041,preventive_adult,colorectal_screening,TODO_INTERVAL,"eligible by age and prior modality result","follow abnormal result pathway per modality",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Interval and cadence depend on test modality
map_042,preventive_adult,breast_screening,TODO_INTERVAL,"eligible by age and sex-at-birth profile","follow abnormal imaging pathway",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Interval and cadence depend on program pathway
map_043,preventive_adult,cervical_screening,TODO_INTERVAL,"eligible by age and cervical-risk profile","follow abnormal cytology or HPV pathway",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Interval depends on screening method and history
map_044,preventive_adult,lung_cancer_screening,TODO_INTERVAL,"eligible by age and smoking exposure criteria","follow abnormal imaging pathway",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Eligibility and cadence depend on jurisdiction guidance
map_045,preventive_adult,abdominal_aortic_aneurysm_screening,TODO_INTERVAL,"eligible by age and risk factors","follow abnormal imaging referral pathway",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Typically one-time for selected cohorts
map_046,preventive_adult,hepatitis_c_screening,TODO_INTERVAL,"eligible by risk profile and birth cohort guidance","follow positive confirmatory pathway",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Cadence may be one-time or risk-based repeat
map_047,preventive_adult,hiv_screening,TODO_INTERVAL,"eligible by risk profile and sexual health guidance","follow positive confirmatory pathway",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Cadence depends on risk and prior status
map_048,immunization_adult,influenza_vaccination,365,"annual seasonal eligibility","follow adverse-event and contraindication pathways",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Seasonal cadence
map_049,immunization_adult,pneumococcal_vaccination,TODO_INTERVAL,"eligible by age/comorbidity and prior vaccination status","follow adverse-event and contraindication pathways",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Cadence depends on product and prior doses
map_050,immunization_adult,shingles_vaccination,TODO_INTERVAL,"eligible by age and prior vaccination status","follow adverse-event and contraindication pathways",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Cadence depends on dose schedule
